Cod_IBGE;Mortalidade_infantil;IDHM_Educacao;Densidade_demográfica;Renda_per_capita;Grau_de_Urbanizacao;Indice_de_Gini;Esgoto_Sanitario;Estab_por_mil_Hab;Doses_Aplicadas_mil_Hab;Razao_Medico_mil_Hab;den_binned
3548807;6,54;0,811;10509,88;1578,74;100;0,548;99,85;3,72907355;641,5990056;4,899367909;4
3548906;7,74;0,766;221,64;923,62;96;0,499;99,43;3,185894688;445,9799202;2,666589733;3
3549003;51,28;0,658;37,33;442,8;82,11;0,46;99,6;1,867762421;369,8169593;0,373552484;2
3549102;15,97;0,749;176,63;823,48;97,37;0,515;97,59;6,549118388;468,3192123;3,171513625;3
3549201;33,33;0,686;19,84;483,18;77,06;0,364;100;0,807754443;538,368336;0,984600843;2
3549250;153,85;0,738;10,77;533,45;89,3;0,369;97,73;2,162162162;692,972973;2,162162162;1
3549300;43,48;0,692;17,89;590,31;86,45;0,334;97,66;3,022670025;498,7405542;1,007556675;2
3549409;8,53;0,706;126,29;722,9;98,23;0,419;99,7;3,699725504;372,995982;1,79018976;3
3549508;21,28;0,58;32,24;510,93;91,22;0,465;98,58;0,916695313;161,3383752;0,114586914;2
3549607;24,39;0,591;7,27;454,64;79,04;0,548;88,94;1,228501229;286,4864865;0,737100737;1
3549706;5,67;0,717;130,92;680,16;92,17;0,494;97,75;1,541179566;452,3925873;1,447205202;3
3549805;8,42;0,748;1066,51;978,49;93,93;0,508;99,08;2,545074611;731,2624463;5,634884489;3
3549904;9,34;0,764;656,67;955,77;97,97;0,563;93,3;1,59430609;498,6322458;2,606050202;3
3549953;4,95;0,666;84,87;507,98;93,07;0,515;44,56;0,641889723;389,3703062;0,385133834;2
3550001;8,26;0,593;17,31;479,18;59,96;0,484;83,84;1,040779639;434,9512726;0,851546977;2
3550100;9,54;0,695;62,94;641,13;98,66;0,461;96,82;2,855410118;506,4183555;0,909688179;2
3550209;14,22;0,633;35,4;447,67;76,82;0,582;86,14;1,78125;883,5;0,46875;2
3550308;11,19;0,725;8054,66;1126,97;99,1;0,645;92,26;1,541914427;734,141079;3,540960735;4
3550407;4,68;0,674;58,33;689,97;87,02;0,477;95,48;2,426333022;688,9908793;0,760056127;2
3550506;23,26;0,636;10,48;467,68;77,88;0,39;97,96;0,81422174;524,0873931;0,135703623;1
3550605;13,65;0,687;296,56;778,3;96,7;0,511;60,41;2,687710871;431,166009;1,704123063;3
3550704;7,75;0,703;221,13;697,24;98,87;0,502;52,46;2,226430252;910,7706433;1,457508464;3
3550803;19,05;0,609;48,26;557,78;71,12;0,416;98,63;2,345844504;389,8290885;0,335120643;2
3550902;15,04;0,722;24,82;653,91;92,34;0,46;98,83;2,492085943;370,1084394;0,269414697;2
3551009;16,1;0,716;2469,94;661,48;99,81;0,489;87,08;0,771102649;379,1645829;0,354818972;4
3551108;8,47;0,621;29,17;525,38;80,42;0,513;67,81;0,791295747;270,1285856;0,395647873;2
3551207;17,24;0,603;25,69;436,85;86,37;0,445;92,39;0,548546352;544,4322545;0,274273176;2
3551306;48,78;0,74;20,93;706,16;85,33;0,426;99,27;1,214697844;1058,609171;0,984600843;2
3551405;7,41;0,572;51,78;421,83;71,23;0,457;92,43;0,97703957;279,514737;0,325679857;2
3551504;7,85;0,65;357,86;571,8;99,44;0,382;99,58;1,102759148;681,6626907;1,305306747;3
3551603;12,31;0,676;143,47;799,57;87,09;0,484;76,63;2,587463557;471,574344;0,983965015;3
3551702;15,19;0,672;312,13;779,98;99,52;0,475;98,94;3,097544032;429,2918148;1,716317274;3
3551801;4,95;0,562;12,07;383,28;72,4;0,516;87,1;0,633512829;534,6848274;0,475134621;2
3551900;16,22;0,638;124,56;538,52;96,61;0,42;99,77;0,934252014;469,286465;0,233563004;3
3552007;14,29;0,584;15,19;448,24;53,82;0,48;96,23;1,12830432;445,51902;0,644745326;2
3552106;12,08;0,634;91,32;660,37;71,58;0,452;82,44;1,856483511;531,1863445;0,876672769;2
3552205;9,71;0,762;1508,45;874,7;98,98;0,529;97,75;1,740194701;218,2076602;3,082543843;4
3552304;9,43;0,694;12,98;623,29;86,14;0,541;98,28;0,907558667;769,4800985;0,777907429;2
3552403;8,88;0,705;1840,43;668,49;98,82;0,474;93,75;0,865076339;490,2687739;0,759148624;4
3552502;10,75;0,723;1443,19;552,44;96,48;0,491;85,01;0,910646662;658,5659205;0,45360513;4
3552551;27,03;0,631;11,99;454,4;66,73;0,421;94,39;1,01342792;276,9191791;0,984600843;2
3552601;17,86;0,666;35,88;658,52;93,72;0,397;99,11;1,765893037;484,6115035;0,504540868;2
3552700;14,15;0,609;44,75;575,37;90,34;0,407;97,71;2,704912877;445,6186702;0,629049506;2
3552809;13,3;0,71;14207,57;664,47;100;0,49;90,82;0,447386313;928,9395535;1,303408943;4
3552908;12,35;0,684;10,35;522,47;87,88;0,386;97,7;0,825900231;415,4278163;0,660720185;1
3553005;21,62;0,631;95,36;516,23;71,64;0,372;98,33;1,126210676;741,7974322;0,750807118;2
3553104;37,04;0,628;58,8;544,6;93,24;0,422;99,09;1,822097068;576,9421898;0,331290376;2
3553203;34,48;0,718;42,02;718,29;93,88;0,424;98,84;2,867155145;406,3395986;0,796431985;2
3553302;13,2;0,624;41,31;616,56;91,37;0,453;97,95;3,420602552;624,0845503;0,833223699;2
3553401;4,02;0,687;34,75;677,09;93,12;0,421;86,83;1,911969727;455,1284605;2,190798646;2
3553500;33,71;0,578;10,34;408,83;75,14;0,444;87,26;1,298869983;535,783868;0,259773997;1
3553609;6,94;0,692;58,41;550,63;89,6;0,406;98,21;1,268834259;486,8358446;0,555114988;2
3553658;31,25;0,716;52,16;582,81;96,69;0,519;99,38;1,090512541;437,6590331;1,090512541;2
3553708;11,01;0,696;96,2;644,58;96,19;0,468;98,9;2,789042001;358,0616158;0,935796987;2
3553807;17,36;0,606;51,77;502,48;91,14;0,495;98,65;0,776096236;704,6091493;0,431164576;2
3553856;10,53;0,626;25,25;332,69;58,08;0,438;86,48;1,044204664;764,8799165;0,348068221;2
3553906;10,42;0,697;37,08;454,06;94,02;0,399;97,77;0,962993534;565,0020636;0,412711515;2
3553955;14,35;0,68;49,52;572,15;95,18;0,549;99,09;1,283263542;413,0082399;0,202620559;2
3554003;12,99;0,688;232,49;673,96;97,15;0,478;94,1;2,963628947;407,465681;0,949027247;3
