,Populacao,Criancas,Jovens,Adultos,Idosos,Populacao_Masculina,Populacao_Feminina,Grau_de_Urbanizacao,Abastecimento_de_Agua,Coleta_de_Lixo,Esgoto_Sanitario ,Percent_Doses_Aplicadas,Estab_por_mil_Hab,Equip_por_mil_Hab,Percent_Equip_em_uso,Densidade_demográfica,Mortalidade_infantil,Renda_per_capita,IDHM,IDHM_Longevidade,IDHM_Educacao,IDHM_Renda,IDHM_Ranking,Indice_Futuridade,Razao_Medico_Pop
361,0.0004078465600531102,0.21049369964883288,0.15368725469944228,0.501549266680438,0.13426977897128692,0.5029952489155133,0.49700475108448666,0.8128,0.9928,1.0,0.9486,0.6387110101218757,0.15029688273132114,0.1338890441530878,1.0,0.0009565323274845734,0.0749985000299994,0.28263678629793376,0.718,0.8390000000000001,0.67,0.659,0.7581395348837209,0.46287703016241294,0.11977855543336438
362,0.0005642958602015558,0.18498059122126007,0.1488504031054046,0.4519259480441923,0.21424305762914303,0.5131382502239474,0.48686174977605257,0.42460000000000003,0.9941,0.996,0.9792000000000001,0.22170797252911317,0.15207854479296146,0.019353743288895133,1.0,0.0005623762543489141,0.07319853602927942,0.26306421576700406,0.655,0.8140000000000001,0.52,0.664,0.9953488372093023,0.42227378190255216,0.10388438104262472
363,0.0015539619500474318,0.19072919490376797,0.1541881268636487,0.4949850908105178,0.1600975874220656,0.5094063431824343,0.4905936568175657,0.9656,0.5365,0.9229,0.256,0.4808891298454866,0.06311409785219414,0.08960693955001356,0.8823529411764706,0.003996461041543347,0.05579888402231956,0.31010806085865944,0.6779999999999999,0.818,0.5589999999999999,0.6809999999999999,0.9689922480620154,0.4849187935034802,0.006287318914100482
364,0.0007262213070972547,0.12958236658932715,0.11183294663573086,0.5280742459396752,0.2305104408352668,0.49327146171693736,0.5067285382830626,0.9201999999999999,0.9952,0.9989,0.958,0.438631090487239,0.2532206064857282,0.08271143260088258,1.0,0.0028695969824537202,0.19565608687826244,0.4508405437247425,0.754,0.823,0.7070000000000001,0.737,0.3085271317829457,0.5139211136890951,0.1345354957895399
365,0.0009083663727520418,0.13689482470784642,0.11176034130959006,0.5168799851604526,0.23446484882211094,0.4884066035985902,0.5115933964014098,0.84,0.9892,0.9987,0.9859,0.416620293081061,0.5128605815894708,0.607158626759923,0.9603960396039604,0.0018525335437375992,0.058258834823303546,0.4677717673587798,0.7509999999999999,0.835,0.672,0.755,0.3395348837209302,0.38747099767981436,0.24738459836054705
366,0.000418630356724624,0.18756288991748843,0.13282350573556048,0.543570134835983,0.136043469510968,0.5220366270879453,0.47796337291205476,0.9076000000000001,0.9797,0.9968,0.9773000000000001,0.7405916683437311,0.08785516715262535,0.02608802023526255,1.0,0.0026661842947104963,0.08105837883242335,0.36682417624181307,0.713,0.8140000000000001,0.636,0.701,0.7984496124031008,0.574245939675174,0.07001585673410146
367,0.000543402254150498,0.16744186046511628,0.1386046511627907,0.5091472868217054,0.1848062015503876,0.493953488372093,0.5060465116279069,0.8736,0.9976,0.9982,0.9909,0.5531782945736434,0.09024337479718768,0.1758565131478948,0.9714285714285714,0.00225654351870165,0.1348173036539269,0.39344033849778937,0.738,0.826,0.684,0.71,0.49767441860465117,0.6531322505800463,0.07191913015229978
368,0.000815103381225747,0.22914728682170543,0.19596899224806202,0.47297157622739017,0.10191214470284238,0.5068733850129199,0.4931266149870801,0.7929,0.8190000000000001,0.9863,0.8096,0.5093540051679587,0.10528393726338563,0.43210457516339873,1.0,0.0017814446805470604,0.08633827323453531,0.1776733344312553,0.6509999999999999,0.799,0.5770000000000001,0.598,0.9968992248062015,0.18329466357308585,0.05993260846024981
369,0.0001631891730681418,0.12803304078471864,0.1223541559112029,0.4646360351058338,0.2849767681982447,0.504388229220444,0.49561177077955604,0.5054,0.9968,0.9841,0.9712999999999999,0.2560660815694373,0.3005006543324009,0.46846649862836204,0.9285714285714286,0.0010635175473356808,0.2999940001199976,0.3195966403587671,0.715,0.8059999999999999,0.675,0.6729999999999999,0.7782945736434108,0.6995359628770301,0.059870726572319774
370,9.907613191953266e-05,0.1836734693877551,0.13945578231292516,0.49404761904761907,0.1828231292517007,0.4872448979591837,0.5127551020408163,0.7976000000000001,1.0,0.9923000000000001,0.9923000000000001,0.5952380952380952,0.49495728523967725,0.13778844871281845,1.0,0.00048636044024417973,0.46151076978460437,0.3772122072032127,0.7559999999999999,0.823,0.755,0.6940000000000001,0.29147286821705426,0.7134570765661252,0.09861360320627839
